Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [24/361] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.07/16.04] Dendrogram contour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.25/4.93] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.05/0.18] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.02/0.23] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-112  A11        ---    G18            ? Source ID match from G18 catalog
114-115  I2         K      $T_B$          [4/99] Brightness temperature
117-122  F6.2       ---    $\alpha$       [0.3/3.5] Spectral index
124-129  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
131-135  F5.1      solMass Mass           [2.2/240.7] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
176  0.63 0.39 0.051 0.110 0.067 17:47:19.536                     -28:23:06.864                    1              7   2.10   0.30  12.5
178  3.78 1.39 0.051 0.236 0.100 17:47:19.56                      -28:23:03.156                    2             28   2.28   0.08  59.0
179  1.26 1.00 0.051 0.091 0.074 17:47:19.5384                    -28:23:03.3                      2             20   2.30   0.10  20.2
181  0.18 0.28 0.051 0.049 0.048 17:47:19.5504                    -28:23:03.012                    1              5   3.00   0.30   4.4
182  0.39 0.35 0.051 0.094 0.050 17:47:19.5576                    -28:23:02.904                    2              7   3.00   0.20   8.3
183  2.19 1.18 0.051 0.125 0.083 17:47:19.5648                    -28:23:02.58                     2             23   2.38   0.08  34.5
186  2.29 0.70 0.051 0.132 0.121 17:47:20.0856                    -28:22:57.18                     2 169         14   1.40   0.30  38.5
187  1.34 0.39 0.051 0.195 0.089 17:47:20.1864                    -28:22:56.46                     1              7   2.10   0.30  26.8
190  0.34 0.31 0.051 0.097 0.046 17:47:19.6464                    -28:23:11.472                    1              6   2.70   0.30   8.0
192  0.54 0.43 0.051 0.103 0.066 17:47:19.4136                    -28:23:07.872                    2 165          8   2.70   0.20  10.3
193  1.69 1.09 0.051 0.103 0.077 17:47:19.4472                    -28:23:07.728                    2 165         22   2.81   0.08  26.8
194  0.14 0.46 0.051 0.047 0.022 17:47:19.4352                    -28:23:07.764                    2 165          9   2.90   0.20   2.6
195  2.15 0.87 0.051 0.150 0.093 17:47:19.4664                    -28:23:06.972                    2 166         17   2.20   0.10  35.0
196  2.36 0.73 0.051 0.146 0.125 17:47:19.4832                    -28:23:03.876                    2             14   2.30   0.10  39.3
200  0.74 0.67 0.051 0.076 0.072 17:47:19.3992                    -28:23:03.264                    2             13   2.60   0.10  12.4
203  1.60 0.68 0.051 0.174 0.075 17:47:19.3752                    -28:23:03.084                    2 93          13   2.40   0.10  27.0
207  0.49 0.41 0.051 0.105 0.050 17:47:19.944                     -28:22:55.74                     1 247          8   2.00   0.30   9.5
208  2.07 0.58 0.051 0.162 0.123 17:47:19.4664                    -28:23:13.236                    2 131         11   2.00   0.20  36.0
209  0.15 0.26 0.051 0.069 0.031 17:47:19.3344                    -28:23:08.988                    2              5   2.70   0.30   4.3
210  1.12 0.63 0.051 0.121 0.080 17:47:19.3584                    -28:23:08.916                    2 91          12   2.40   0.20  19.2
215  7.15 1.11 0.051 0.276 0.225 17:47:19.0848                    -28:23:04.344                    2             22   2.40   0.10 113.5
216  0.80 0.78 0.051 0.080 0.066 17:47:19.2144                    -28:23:02.868                    2             15   2.60   0.10  13.1
217  1.46 0.76 0.051 0.120 0.086 17:47:19.0896                    -28:23:02.724                    2             15   2.20   0.20  24.2
219  1.11 0.78 0.051 0.139 0.064 17:47:19.5072                    -28:23:16.692                    2 148         15   2.40   0.10  18.4
220  0.47 0.47 0.051 0.080 0.055 17:47:19.5264                    -28:23:16.62                     2 148          9   2.60   0.20   8.6
221  0.75 0.36 0.051 0.141 0.068 17:47:19.0128                    -28:23:06.612                    2              7   2.50   0.30  15.5
222  1.57 0.74 0.051 0.134 0.088 17:47:18.9576                    -28:23:06.54                     2             15   2.30   0.20  26.1
223  1.23 0.58 0.051 0.115 0.092 17:47:19.0272                    -28:23:04.848                    2             11   2.30   0.20  21.3
224  0.16 0.30 0.051 0.053 0.040 17:47:19.056                     -28:23:01.14                     2              6   3.30   0.20   3.8
225  0.16 0.26 0.051 0.053 0.042 17:47:18.8472                    -28:23:08.736                    2              5   3.00   0.30   4.4
226  0.24 0.26 0.051 0.081 0.049 17:47:18.8784                    -28:23:07.656                    2              5   3.00   0.40   6.6
227  0.19 0.31 0.051 0.054 0.047 17:47:18.864                     -28:23:07.512                    2              6   2.80   0.30   4.4
228  0.87 0.57 0.051 0.177 0.053 17:47:18.9048                    -28:23:06.756                    2             11   2.40   0.20  15.1
229  0.34 0.28 0.051 0.102 0.048 17:47:18.8184                    -28:23:03.876                    1              5   2.90   0.30   9.0
230  0.43 0.48 0.051 0.071 0.059 17:47:18.8088                    -28:23:03.732                    2              9   2.50   0.30   7.9
231  0.50 0.29 0.051 0.120 0.060 17:47:18.8976                    -28:23:03.264                    1              5   2.80   0.30  12.4
232  0.60 0.51 0.051 0.088 0.063 17:47:18.8232                    -28:23:01.824                    2             10   2.50   0.30  10.8
233  0.47 0.45 0.051 0.082 0.058 17:47:18.8376                    -28:23:00.636                    2              9   2.00   0.40   8.8
234  0.79 0.31 0.051 0.128 0.086 17:47:19.8864                    -28:22:47.424                    1 229          6   2.80   0.30  18.1
235  0.14 0.34 0.051 0.051 0.031 17:47:18.7584                    -28:23:04.092                    1              6   2.90   0.30   3.0
236  6.75 2.15 0.051 0.267 0.144 17:47:18.7488                    -28:23:03.912                    2 132         43   2.27   0.08 103.2
237  1.34 0.69 0.051 0.150 0.071 17:47:18.7248                    -28:23:03.732                    2             14   2.40   0.20  22.5
238  0.48 0.28 0.051 0.101 0.067 17:47:18.7056                    -28:23:03.372                    1              5   3.30   0.30  12.0
239  0.07 0.25 0.051 0.036 0.029 17:47:18.804                     -28:22:59.808                    2              5   3.20   0.40   2.2
240  0.49 0.59 0.051 0.069 0.058 17:47:18.7968                    -28:22:59.052                    2             11   1.90   0.40   8.5
241  0.49 0.48 0.051 0.077 0.061 17:47:18.6912                    -28:22:58.044                    2              9   2.90   0.30   8.9
242  0.91 0.62 0.051 0.090 0.080 17:47:18.7032                    -28:22:57.18                     2             12   2.70   0.30  15.6
243  2.82 0.87 0.051 0.193 0.114 17:47:18.72                      -28:22:56.712                    2 246         17   2.20   0.30  45.9
244  0.49 0.33 0.051 0.137 0.047 17:47:18.7728                    -28:22:56.712                    2              6   3.30   0.30  10.7
245  1.05 0.55 0.051 0.121 0.084 17:47:18.7632                    -28:22:56.568                    2             11   2.80   0.30  18.6
246  0.92 0.42 0.051 0.123 0.092 17:47:18.7464                    -28:22:56.46                     2 246          8   3.10   0.30  17.8
247  3.20 1.30 0.051 0.158 0.101 17:47:18.7152                    -28:22:56.424                    2 246         26   2.60   0.20  50.2
248  1.43 0.80 0.051 0.106 0.091 17:47:18.7656                    -28:22:56.244                    2             16   2.20   0.30  23.5
249  0.26 0.36 0.051 0.096 0.029 17:47:18.7248                    -28:22:56.172                    1              7   3.30   0.30   5.3
250  0.62 0.39 0.051 0.098 0.072 17:47:18.7368                    -28:22:56.064                    2              7   3.20   0.30  12.2
251  0.11 0.31 0.051 0.046 0.031 17:47:18.7296                    -28:22:55.776                    2              6   3.50   0.30   2.6
252  0.14 0.31 0.051 0.048 0.038 17:47:18.7728                    -28:22:54.552                    2              6   3.50   0.30   3.3
253  0.28 0.31 0.051 0.071 0.054 17:47:18.7896                    -28:22:54.048                    2              6   3.50   0.30   6.5
255  0.15 0.33 0.051 0.049 0.036 17:47:19.9848                    -28:23:27.348                    2              6    nan    nan   3.3
256  1.80 1.19 0.051 0.122 0.086 17:47:19.2552                    -28:23:23.496                    2 130         24   2.60   0.20  28.5
257  0.94 0.38 0.051 0.197 0.059 17:47:18.5832                    -28:23:13.596                    2 149          7    nan    nan  18.9
258  0.34 0.25 0.051 0.103 0.051 17:47:18.4704                    -28:23:05.244                    2 222          5    nan    nan  10.1
260  2.99 2.53 0.051 0.094 0.082 17:47:18.6552                    -28:22:54.732                    2 182_Y       51    nan    nan  45.5
269  0.58 0.53 0.051 0.087 0.068 17:47:19.848                     -28:23:29.112                    2 271         10    nan    nan  10.3
270  0.13 0.25 0.051 0.044 0.043 17:47:19.5048                    -28:23:27.852                    1              4    nan    nan   4.1
271  0.27 0.35 0.051 0.079 0.041 17:47:18.3696                    -28:23:06.252                    2 153          6    nan    nan   5.7
272  2.49 1.22 0.051 0.156 0.081 17:47:18.4416                    -28:22:56.64                     2 95          24    nan    nan  39.2
273  0.50 0.48 0.051 0.087 0.057 17:47:18.4968                    -28:22:54.516                    2              9    nan    nan   9.1
275  0.77 0.84 0.051 0.078 0.061 17:47:20.0184                    -28:23:30.804                    2 139         16    nan    nan  12.6
276  0.92 0.97 0.051 0.083 0.058 17:47:19.9872                    -28:23:30.552                    2 270         19    nan    nan  14.7
277  0.28 0.40 0.051 0.060 0.050 17:47:19.9056                    -28:23:30.048                    2              8    nan    nan   5.5
278  0.33 0.31 0.051 0.070 0.061 17:47:18.2472                    -28:23:07.44                     2 221          6    nan    nan   7.6
279  0.56 0.43 0.051 0.113 0.052 17:47:18.2376                    -28:23:06.936                    2              8    nan    nan  10.6
280  0.63 0.63 0.051 0.083 0.061 17:47:20.0952                    -28:23:33.648                    2 268         12    nan    nan  10.7
281  1.18 0.47 0.051 0.125 0.090 17:47:18.1272                    -28:23:10.212                    2 216          9    nan    nan  21.7
282  0.51 0.42 0.051 0.087 0.065 17:47:18                         -28:23:04.488                    2              8    nan    nan   9.8
283 10.55 3.06 0.051 0.184 0.143 17:47:18.0288                    -28:23:03.624                    2 85          61    nan    nan 159.7
284  2.34 1.59 0.051 0.102 0.084 17:47:18.1368                    -28:23:00.204                    2 84          32    nan    nan  36.2
287  0.23 0.28 0.053 0.079 0.043 17:47:18.1512                    -28:23:16.512                    1 238          5    nan    nan   6.5
288  0.23 0.27 0.053 0.069 0.054 17:47:17.8824                    -28:23:05.208                    1              5    nan    nan   6.6
289  0.22 0.37 0.053 0.063 0.039 17:47:17.9376                    -28:23:04.884                    2 215          7    nan    nan   4.5
290  0.44 0.59 0.053 0.066 0.053 17:47:17.8872                    -28:23:04.452                    2             12    nan    nan   7.7
291  3.40 0.60 0.053 0.230 0.138 17:47:18.0912                    -28:22:52.392                    2 94          12    nan    nan  59.3
292  0.65 0.27 0.054 0.179 0.062 17:47:21.1344                    -28:23:33.72                     1              5    nan    nan  19.5
293  0.49 0.50 0.054 0.071 0.064 17:47:17.7648                    -28:23:06.72                     2 154         10    nan    nan   9.1
294  0.97 0.55 0.057 0.145 0.054 17:47:18.6576                    -28:23:32.172                    1 83          11    nan    nan  17.7
295  0.86 0.73 0.057 0.094 0.057 17:47:18.6744                    -28:23:32.1                      2 83          14    nan    nan  14.6
296  0.16 0.30 0.057 0.053 0.038 17:47:18.0456                    -28:23:21.804                    1 164          6    nan    nan   4.3
311  0.23 0.49 0.074 0.057 0.034 17:47:19.824                     -28:23:43.836                    2              9    nan    nan   5.1
313  2.97 1.64 0.074 0.108 0.103 17:47:19.7712                    -28:23:43.548                    2 82          33    nan    nan  47.1
315  1.01 0.76 0.074 0.098 0.066 17:47:20.1672                    -28:23:43.404                    2 81          15    nan    nan  18.1
318  1.68 1.27 0.084 0.095 0.066 17:47:20.4672                    -28:23:46.104                    2             25    nan    nan  27.8
319  6.53 2.19 0.084 0.184 0.123 17:47:20.4888                    -28:23:45.888                    2             44    nan    nan 102.3
320  1.18 1.63 0.084 0.066 0.052 17:47:20.4672                    -28:23:45.96                     2             33    nan    nan  18.9
321  0.59 0.81 0.084 0.063 0.045 17:47:20.4912                    -28:23:45.528                    2             16    nan    nan  10.8
322  0.71 1.22 0.084 0.054 0.041 17:47:20.5056                    -28:23:45.42                     2             24    nan    nan  11.8
323  1.18 1.41 0.084 0.069 0.051 17:47:20.496                     -28:23:45.312                    2             28    nan    nan  19.2
327  2.18 1.24 0.084 0.122 0.075 17:47:20.5032                    -28:23:44.772                    2             25    nan    nan  36.3
328  0.23 0.48 0.084 0.048 0.038 17:47:17.4288                    -28:23:25.296                    2              9    nan    nan   5.5
329  0.64 0.65 0.088 0.073 0.056 17:47:19.5576                    -28:23:47.256                    2 75          13    nan    nan  12.9
330  1.17 0.92 0.088 0.086 0.068 17:47:19.5792                    -28:23:47.076                    2 75          18    nan    nan  20.7
331  0.49 0.63 0.088 0.063 0.053 17:47:20.0448                    -28:23:46.716                    2             12    nan    nan  10.1
334  1.93 1.47 0.088 0.096 0.073 17:47:20.4768                    -28:23:46.464                    2             29    nan    nan  31.5
336  0.19 0.43 0.088 0.046 0.035 17:47:18.252                     -28:23:38.976                    2 124          8    nan    nan   5.9
339  2.74 1.95 0.095 0.114 0.058 17:47:19.9848                    -28:23:48.912                    2 76          39    nan    nan  43.7
340  0.28 0.67 0.095 0.052 0.030 17:47:19.9944                    -28:23:48.912                    2             13    nan    nan   5.9
341  0.92 0.68 0.095 0.096 0.057 17:47:19.9344                    -28:23:48.732                    2 249         13    nan    nan  19.0
342  1.86 1.66 0.095 0.076 0.064 17:47:19.98                      -28:23:48.732                    2 76          33    nan    nan  30.2
344  0.44 0.56 0.095 0.070 0.047 17:47:19.9296                    -28:23:48.588                    1 249         11    nan    nan  10.6
345  0.65 0.64 0.095 0.079 0.053 17:47:19.9104                    -28:23:48.588                    2 249         12    nan    nan  13.9
347  1.55 0.83 0.095 0.111 0.079 17:47:20.3376                    -28:23:48.372                    2             16    nan    nan  29.1
348  0.21 0.49 0.095 0.057 0.028 17:47:18.1632                    -28:23:39.84                     1 123         10    nan    nan   5.8
350  3.10 1.90 0.105 0.107 0.084 17:47:19.5768                    -28:23:49.92                     2 74          39    nan    nan  49.3
351  0.30 0.80 0.138 0.045 0.028 17:47:19.9296                    -28:23:54.564                    1             15    nan    nan   6.7
352  0.60 0.80 0.138 0.077 0.042 17:47:19.8696                    -28:23:54.204                    2 78          16    nan    nan  15.2
353  4.80 2.00 0.138 0.149 0.100 17:47:18.9024                    -28:23:52.476                    2 72          41    nan    nan  80.1
355  2.60 2.10 0.152 0.090 0.067 17:47:19.9416                    -28:23:56.832                    2 71          41    nan    nan  43.5
359  0.40 0.90 0.178 0.045 0.032 17:47:21.3096                    -28:23:56.976                    1             17    nan    nan  10.7
361  0.40 1.00 0.178 0.042 0.036 17:47:21.5424                    -28:23:56.112                    1             20    nan    nan   9.6
