Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catMB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [4/301]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.5/634.8]? Dendrogram contour flux
  11-15  F5.1   mJy.beam-1 $S_{\nu,peak}$ [1.3/146.0]? Brightest pixel flux
  17-21  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.25/1.02]? Noise
  23-27  F5.3       arcsec FWHM$_{maj}$   [0.02/0.35]? Source FWHM (maj)
  29-33  F5.3       arcsec FWHM$_{min}$   [0.01/0.16]? Source FWHM (min)
  35-66  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  68-99  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    101  I1         ---    Score          2=core, 1=likely core
103-110  A8         ---    Source         Source type
112-114  I3         ---    ID$_{Band 3}$  [1/256]? Source ID match from Band 3
116-119  I4         K      $T_B$          [9/1097]? Brightness temperature
121-126  F6.3       ---    $\alpha$       [-1.0/3.7]? Spectral index
128-132  F5.3       ---    $\alpha_{err}$ [0.0/0.4]? Spectral index error
134-137  F4.1      solMass Mass           ? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
285   6.5   3.8 0.378 0.076 0.051 17:47:19.0584                    -28:23:01.14                     2 core     224   28  3.300 0.200  4.1
286   8.9   3.1 0.415 0.099 0.060 17:47:18.9576                    -28:23:06.54                     2 core     222   23  2.400 0.200  6.3
287   7.0   3.7 0.401 0.141 0.035 17:47:18.9                       -28:23:06.792                    2 core     228   27  2.500 0.200  4.6
288   2.3   3.1 0.435 0.052 0.028 17:47:18.864                     -28:23:07.512                    2 core     227   23  2.900 0.300  1.7
290   2.5   2.2 0.445 0.050 0.041 17:47:18.8448                    -28:23:08.736                    2 core     225   16  3.100 0.300  2.6
291   2.7   3.0 0.445 0.052 0.033 17:47:18.8088                    -28:23:03.732                    2 core     230   22  2.500 0.300  2.0
292   3.8   2.8 0.445 0.062 0.041 17:47:18.8232                    -28:23:01.824                    2 core     232   21  2.500 0.200  3.0
294  38.6  10.9 0.524 0.140 0.073 17:47:18.7464                    -28:23:03.948                    2 core     236   81  2.280 0.080 21.6
295   8.8   3.9 0.524 0.111 0.042 17:47:18.7224                    -28:23:03.732                    2 core     237   29  2.400 0.200  6.2
297   1.6   3.7 0.740 0.038 0.019 17:47:18.7656                    -28:22:56.244                    2 core     248   27  2.200 0.300  1.7
298  20.6   7.9 0.819 0.105 0.057 17:47:18.7128                    -28:22:56.424                    2 core     247   59  2.600 0.200 13.1
301   9.0   7.0 1.016 0.072 0.036 17:47:19.2552                    -28:23:23.46                     2 core     256   52  2.600 0.200  6.5
