Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/397] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.04/10.89] Dendrogram countour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/4.7] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.25] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-110  A9         ---    G18            ? Source ID match from G18 catalog
112-113  I2         K      $T_B$          [3/94] Brightness temperature
115-120  F6.2       ---    $\alpha$       [1.3/4.5] Spectral index
122-127  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
129-133  F5.1      solMass Mass           [1.1/163.0] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
288  2.03 1.72 0.032 0.079 0.067 17:47:18.9864                    -28:22:13.296                    2 106       34   1.90   0.10  30.7
290  2.69 2.11 0.032 0.109 0.063 17:47:20.0904                    -28:22:04.836                    2           42   2.12   0.08  40.7
291  0.25 0.65 0.032 0.054 0.027 17:47:20.1024                    -28:22:04.764                    2           13   2.80   0.10   4.1
292  0.57 0.54 0.032 0.082 0.063 17:47:20.112                     -28:22:04.584                    2           11   2.70   0.20   9.2
295  0.68 0.87 0.032 0.069 0.043 17:47:19.5168                    -28:22:32.556                    1 98        17   1.90   0.30  10.6
296  0.24 1.23 0.032 0.033 0.019 17:47:19.5336                    -28:22:32.448                    2 98        24   2.30   0.10   3.7
297  2.32 2.02 0.032 0.084 0.059 17:47:19.5408                    -28:22:32.376                    2 98        40   1.90   0.10  35.0
298  0.29 0.19 0.032 0.143 0.048 17:47:18.8064                    -28:22:22.728                    1            3   3.50   0.30   6.6
299  2.65 1.77 0.032 0.104 0.091 17:47:19.0032                    -28:22:10.524                    2 155       35   2.00   0.10  40.2
300  0.76 0.43 0.032 0.105 0.081 17:47:18.9792                    -28:22:10.488                    2 155        8   3.00   0.20  12.8
301  0.51 0.50 0.032 0.086 0.062 17:47:20.1936                    -28:22:03.864                    2           10   2.00   0.40   8.4
308  1.30 0.82 0.032 0.103 0.091 17:47:19.5528                    -28:22:35.112                    2 231       16   2.50   0.20  20.4
309  0.42 0.35 0.032 0.078 0.075 17:47:18.7752                    -28:22:12.072                    2            7   3.00   0.30   7.4
310  0.76 0.34 0.032 0.119 0.095 17:47:18.78                      -28:22:11.748                    1            6   3.00   0.30  13.4
312  0.14 0.25 0.032 0.057 0.042 17:47:20.1984                    -28:22:02.64                     1            5   3.30   0.30   2.8
313  0.39 0.32 0.032 0.097 0.061 17:47:20.1864                    -28:22:02.316                    1            6   3.10   0.30   7.0
315  0.04 0.17 0.032 0.031 0.029 17:47:19.6896                    -28:22:01.38                     2            3   3.80   0.40   1.1
