Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/340]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.8/133.0]? Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.8/54.7]? Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.35/1.16]? Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31]? Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.18]? Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2]? 2=core, 1=likely core
102-109  A8         ---    Source         Type of source
111-113  I3         ---    ID$_{Band 3}$  [2/323]? Source ID match from Band 3
115-117  I3         K      $T_B$          [13/409]? Brightness temperature
119-123  F5.2       ---    $\alpha$       [-1.01/4.3]? Spectral index
125-128  F4.2       ---    $\alpha_{err}$ [0.01/0.4]? Spectral index error
130-133  F4.1      solMass Mass           [0.8/39.71]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
186   1.3  2.0 0.353 0.038 0.032 17:47:19.8744                    -28:22:22.152                    2 core      37  15  3.20 0.30  1.2
190   3.9  2.1 0.353 0.076 0.044 17:47:19.7016                    -28:22:17.364                    1 core      77  15  3.00 0.30  3.3
193  18.0  5.0 0.353 0.185 0.050 17:47:19.7352                    -28:22:16.968                    1 core      80  37  3.00 0.10 10.5
196  19.7  4.1 0.353 0.142 0.126 17:47:19.7088                    -28:22:16.644                    2 core      82  30  1.70 0.10 12.0
198  12.3  3.8 0.353 0.105 0.069 17:47:19.7328                    -28:22:16.608                    2 core      84  28  2.50 0.10  7.6
202   5.5  4.4 0.353 0.065 0.035 17:47:19.752                     -28:22:16.104                    1 core     100  33  1.90 0.10  3.3
203  15.5  5.2 0.353 0.139 0.045 17:47:19.7496                    -28:22:16.032                    2 core     100  38  1.49 0.09  9.0
213  15.9  4.3 0.353 0.118 0.065 17:47:19.8624                    -28:22:15.168                    1 core     111  32  3.00 0.10  9.6
215   2.5  1.8 0.353 0.077 0.031 17:47:19.8792                    -28:22:22.944                    1 core          13  3.60 0.40  2.5
216  44.3  4.9 0.353 0.220 0.099 17:47:19.8744                    -28:22:22.44                     1 core     113  36  2.61 0.09 26.1
218   1.7  2.3 0.353 0.045 0.030 17:47:19.6776                    -28:22:15.78                     2 core     125  16  1.70 0.30  1.3
219  31.6  9.5 0.353 0.153 0.069 17:47:19.7448                    -28:22:15.456                    2 core     126  71  1.72 0.06 17.4
222   7.9  3.6 0.353 0.103 0.046 17:47:19.9392                    -28:22:14.448                    2 core     151  26  1.90 0.20  5.0
223   1.3  2.2 0.353 0.043 0.026 17:47:19.9296                    -28:22:14.34                     1 core     153  16  2.10 0.20  1.0
224   3.9  2.4 0.353 0.094 0.037 17:47:19.9272                    -28:22:14.268                    1 core          18  2.60 0.20  2.9
226   5.4  3.9 0.353 0.082 0.034 17:47:19.9608                    -28:22:14.196                    2 core     157  29  2.10 0.20  3.3
227  10.5  4.7 0.353 0.119 0.043 17:47:20.0784                    -28:22:23.016                    2 core     112  35  2.80 0.10  6.2
228   6.8  3.9 0.353 0.099 0.040 17:47:19.6728                    -28:22:15.276                    1 core     129  29  2.20 0.20  4.2
229   4.4  4.2 0.353 0.054 0.043 17:47:19.7088                    -28:22:15.132                    2 core     130  31  1.90 0.20  2.7
230   1.8  2.3 0.353 0.046 0.032 17:47:19.704                     -28:22:15.024                    1 core          17  3.10 0.30  1.4
231  18.0  5.8 0.353 0.160 0.070 17:47:19.6872                    -28:22:14.916                    2 core     139  43  2.20 0.10 10.4
232   2.2  1.9 0.353 0.053 0.044 17:47:19.668                     -28:22:14.844                    1 core     140  13  1.70 0.30  2.1
233   2.0  2.5 0.353 0.054 0.029 17:47:19.68                      -28:22:14.772                    1 core     145  19  2.40 0.30  1.5
234  43.3  7.0 0.353 0.228 0.074 17:47:19.956                     -28:22:13.98                     2 core     159  52  2.04 0.07 24.4
235   3.2  2.2 0.353 0.077 0.035 17:47:19.8912                    -28:22:14.052                    1 core          16  3.00 0.30  2.6
236  25.3  3.8 0.353 0.154 0.104 17:47:19.8456                    -28:22:13.836                    1 core     163  28  2.70 0.10 15.7
237   2.1  2.8 0.353 0.050 0.029 17:47:20.016                     -28:22:13.836                    2 core     162  21  1.60 0.20  1.4
238   9.6  3.3 0.353 0.113 0.049 17:47:19.8984                    -28:22:13.8                      1 core     165  24  3.10 0.20  6.2
239   2.9  3.4 0.353 0.056 0.027 17:47:19.9608                    -28:22:13.836                    2 core          25  2.40 0.20  1.8
240   4.6  2.3 0.353 0.079 0.045 17:47:19.9704                    -28:22:13.764                    1 core          17  2.80 0.20  3.5
